English,Espanol
you,ustedes
I,I
to,a
the,el
a,un
and,y
that,ese
it,eso
of,de
me,yo
what,qué
is,es
in,en
this,esta
know,saber
I'm,estoy
for,por
no,No
have,tener
my,mi
don't,no
just,sólo
not,no
do,hacer
be,ser
on,sobre
your,tu
was,era
we,nosotros
it's,es
with,con
so,entonces
but,pero
all,todo
well,bien
are,son
he,él
oh,Oh
about,acerca de
right,derecho
you're,estás
get,obtener
here,aquí
out,fuera
going,yendo
like,me gusta
yeah,sí
if,Si
her,ella
she,ella
can,poder
up,arriba
want,desear
think,pensar
that's,ese es
now,ahora
go,Vamos
him,él
at,en
how,cómo
got,tiene
there,allí
one,una
did,hizo
why,por qué
see,ver
come,venir
good,bien
they,ellos
really,De Verdad
as,como
would,haría
look,Mira
when,Cuándo
time,hora
will,será
okay,bueno
back,espalda
can't,hipocresía
mean,significar
tell,contar
I'll,voy a
from,desde
hey,Oye
were,fueron
he's,él es
could,pudo
didn't,no
yes,sí
his,su
been,estado
or,o
something,algo
who,quién
because,porque
some,algunos
had,tenido
then,entonces
say,decir
ok,OK
take,llevar
an,un
way,camino
us,nosotros
little,pequeño
make,fabricar
need,necesitar
gonna,ir a
never,nunca
we're,fueron
too,también
love,amor
she's,ella esta
I've,He
sure,seguro
them,ellos
more,más
over,encima
our,nuestro
sorry,lo siento
where,donde
what's,qué
let,dejar
thing,cosa
am,soy
maybe,quizás
down,abajo
man,hombre
has,posee
uh,Oh
very,muy
by,por
there's,hay
should,deberían
anything,cualquier cosa
said,dicho
much,mucho
any,ningún
life,vida
even,incluso
off,apagado
please,por favor
doing,haciendo
thank,gracias
give,dar
only,solo
thought,pensó
help,ayuda
two,dos
talk,hablar
people,personas
god,Dios
still,aún
wait,Espere
into,en
find,encontrar
nothing,nada
again,de nuevo
things,cosas
let's,vamos
doesn't,no
call,llamar
told,dijo
great,estupendo
before,antes de
better,mejor
ever,alguna vez
night,noche
than,que
away,lejos
first,primero
believe,creer
other,otro
feel,sentir
everything,todo
work,trabajo
you've,tienes
fine,multa
home,casa
after,después
last,ultimo
these,estos
day,día
keep,mantenerse
does,lo hace
put,poner
around,alrededor
stop,detener
they're,son
I'd,Identificación
guy,chico
long,largo
isn't,no es
always,siempre
listen,escucha
wanted,querido
Mr.,Señor.
guys,tipo
huh,eh
those,aquellos
big,grande
lot,lote
happened,sucedió
thanks,Gracias
won't,no lo hará
trying,difícil
kind,amable
wrong,incorrecto
through,mediante
talking,hablando
made,hecho
new,nuevo
being,ser
guess,adivinar
hi,Hola
care,cuidado
bad,malo
mom,mamá
remember,recordar
getting,consiguiendo
we'll,bien
together,juntos
dad,padre
leave,salir
mother,mamá
place,lugar
understand,comprender
wouldn't,no lo haría
actually,Realmente
hear,escuchar
baby,bebé
nice,bonito
father,padre
else,demás
stay,permanecer
done,hecho
wasn't,no estaba
their,su
course,curso
might,podría
mind,mente
every,cada
enough,suficiente
try,tratar
hell,infierno
came,llegó
someone,alguien
you'll,usted lo harás
own,propio
family,familia
whole,entero
another,otro
house,casa
fire,fuego
yourself,tú mismo
idea,ocurrencia
ask,preguntar
best,mejor
must,deber
coming,viniendo
old,viejo
looking,buscando
woman,mujer
hello,Hola
which,cual
years,años
room,habitación
money,dinero
left,izquierda
knew,supo
tonight,esta noche
real,verdadero
son,hijo
hope,esperanza
name,nombre
same,mismo
went,fuimos
um,um
hmm,mmm
happy,feliz
pretty,bonito
saw,vio
girl,muchacha
sir,señor
show,show
friend,amigo
already,ya
saying,diciendo
may or May,puede o puede
next,Siguiente
three,Tres
job,trabajo
problem,problema
minute,minuto
found,fundar
world,mundo
thinking,pensando
haven't,no tiene
heard,Escuchó
honey,miel
matter,importar
myself,yo mismo
couldn't,no podía
exactly,exactamente
having,teniendo
ah,ah
probably,probablemente
happen,ocurrir
we've,Hemos
hurt,herir
boy,chico
both,ambos
while,mientras
dead,muerto
gotta,tengo que
alone,solo
since,ya que
excuse,excusa
start,comienzo
kill,matar
hard,duro
you'd,usted
today,hoy dia
car,carro
ready,Listo
until,hasta
without,sin que
whatever,lo que
wants,quiere
hold,sostener
wanna,querer
yet,aún
seen,visto
deal,acuerdo
took,cogí
once,una vez
gone,desaparecido
called,llamado
morning,Mañana
supposed,supuesto
friends,amigos
head,cabeza
stuff,cosas
most,más
used,usado
worry,preocuparse
second,segundo
part,parte
live,En Vivo
truth,verdad
school,colegio
face,rostro
forget,olvidar
date,fecha
business,negocio
each,cada
cause,porque
soon,pronto
knows,conocido
few,pocos
telling,narración
wife,esposa
who's,quien es
use,usar
chance,oportunidad
run,correr
move,Muevete
anyone,alguien
person,persona
bye,adiós
read,leer
somebody,alguien
Doctor,Médico
heart,corazón
such,semejante
miss,perder
married,casado
point,punto
later,más tarde
making,haciendo
meet,reunirse
anyway,de todos modos
many,muchos
phone,teléfono
reason,razón
damn,maldita sea
lost,perdió
looks,mira
bring,traer
case,caso
turn,turno
wish,deseo
tomorrow,mañana
kids,niños
trust,confianza
